GEOID,NAME,crashes_per_1K_16_19,crashes_per_1K_20_23,pct_chg_16_19_to_20_23
42101005600,Census Tract 56,2.5773195876288657,1.845342706502636,-28.400702987697713
42101020800,Census Tract 208,1.0332434860736748,0.6329113924050633,-38.74518436984039
42101022000,Census Tract 220,1.2322858903265557,0.47393364928909953,-61.54028436018957
42101000500,Census Tract 5,6.722354813046937,2.649656526005888,-60.58439937053963
42101014100,Census Tract 141,6.085343228200371,3.688799463447351,-39.38222832932554
42101024100,Census Tract 241,4.243191893603546,3.4261241970021414,-19.25596855124804
42101002702,Census Tract 27.02,0.46125461254612543,0.4084411164057182,-11.449965963240293
42101980702,Census Tract 9807.02,Inf,Inf,NA
42101020702,Census Tract 207.02,2.4145610971350413,1.7183770883054894,-28.8327352600685
42101012502,Census Tract 125.02,8.319503855470916,5.022709056906225,-39.62730056789041
42101012501,Census Tract 125.01,7.9108378398495365,4.966442953020135,-37.21976036466707
42101000806,Census Tract 8.06,0.9938340262100472,0.3994673768308922,-59.80542361240663
42101038301,Census Tract 383.01,3.3236225811686526,2.801358234295416,-15.713707983341418
42101980906,Census Tract 9809.06,Inf,Inf,NA
42101036700,Census Tract 367,6.616274856959264,4.4032124065355855,-33.44876835181493
42101008601,Census Tract 86.01,0.9561490273656446,0.5924170616113744,-38.04134662526556
42101033200,Census Tract 332,1.5298507462686568,0.6174845628859279,-59.637594425993015
42101000902,Census Tract 9.02,0.5277044854881267,0.402046783625731,-23.812134502923975
42101004101,Census Tract 41.01,1.0051880674448768,0.8798240351929615,-12.471699208545385
42101007200,Census Tract 72,2.3054755043227666,1.8342541436464088,-20.439226519337016
42101011300,Census Tract 113,0.5436424041075204,0.3139717425431711,-42.24664224664225
42101013401,Census Tract 134.01,0.4393673110720563,0.10087424344317418,-77.04102219233356
42101021200,Census Tract 212,0.7949125596184419,0.3370407819346141,-57.60026963262555
42101026900,Census Tract 269,1.6621743036837375,0.9872480460715755,-40.60502295796413
